g_erst,g_art,g_nr,g_name
"Ziegler Christoph (GLP, Elgg)", Parlamentarische Initiative,359/2017,Wahlfreiheit statt Zwang im Gesundheitsgesetz
"Häuptli Daniel (GLP, Zürich)", Parlamentarische Initiative,358/2017,Öffentliche Ausschreibung der Triagestelle (Gesundheitsgesetz)
Kantonsrat Geschäftsleitung, Parlamentarische Initiative,344/2017,Veränderungen des Beschäftigungsgrades der Richterinnen und Richter
"Häusler-Michel Edith (Grüne, Kilchberg)", Parlamentarische Initiative,340/2017,Standesinitiative zum Verbot der Anwendung des Wirkstoffes Glyphosat
"Boesch Hans-Jakob (FDP, Zürich)", Parlamentarische Initiative,339/2017,Reduktion der Vermögenssteuersätze
"Erni Jonas (SP, Wädenswil)", Parlamentarische Initiative,317/2017,Kein Sonntagsverkauf am 24. Dezember
"Zeugin Michael (GLP, Winterthur)", Parlamentarische Initiative,298/2017,Modernisierung des Personalgesetzes
"Pflugshaupt Elisabeth (SVP, Gossau)", Parlamentarische Initiative,288/2017,Archivierungsmengen die tragbar sind
"Huonker Laura (AL, Zürich)", Parlamentarische Initiative,263/2017,"Einführung einer Geschlechterquote in Kantonsrat, Regierungsrat, den obersten Gerichten sowie dem Ständerat"
"Mani Tobias (EVP, Wädenswil)", Parlamentarische Initiative,262/2017,Abschaffung des Schiffszuschlags («Schiffsfünfliber»)
"Hoffmann Benedikt (SVP, Zürich)", Parlamentarische Initiative,245/2017,Flexibilisierung der Dauer von Schutzmassnahmen im GSG
"Biber Michael (FDP, Bachenbülach)", Parlamentarische Initiative,244/2017,Beidseitige Anwendung des GSG
"Rigoni Silvia (Grüne, Zürich)", Parlamentarische Initiative,234/2017,Bezirksgericht als professionelle Beschwerdeinstanz für alle KESB-Entscheide
"Feldmann Stefan (SP, Uster)", Parlamentarische Initiative,223/2017,Änderung der Kantonsverfassung (Steuerfuss)
"Rigoni Silvia (Grüne, Zürich)", Parlamentarische Initiative,193/2017,Gestärkte Partizipation von Ausländerinnen und Ausländern (Ausländerinnen und Ausländer-Initiative)
"Kommission für Energie, Verkehr und Umwelt", Parlamentarische Initiative,184/2017,Strategische Sicherung der Stromversorgung (Stromnetz)
"Kommission für Energie, Verkehr und Umwelt", Parlamentarische Initiative,183/2017,Vereinbarungen im Zusammenhang mit Beteiligungen an Elektrizitätsversorgungsunternehmen
"Kommission für Energie, Verkehr und Umwelt", Parlamentarische Initiative,182/2017,Strategische Sicherung der Stromversorgung (Produktion)
"Loss Davide (SP, Adliswil)", Parlamentarische Initiative,101/2017,Fristenstillstand auch im Rekursverfahren
"Amrein Hans-Peter (SVP, Küsnacht)", Parlamentarische Initiative,88/2017,Mehr Demokratie statt Meinungsbildungsbeeinflussung in Abstimmungszeitungen
"Hoffmann Benedikt (SVP, Zürich)", Parlamentarische Initiative,79/2017,Klare rechtliche Grundlage für Sozialdetektive
"Schmid Lorenz (CVP, Männedorf)", Parlamentarische Initiative,51/2017,Spitalliste
"Steiner Kathy (Grüne, Zürich)", Parlamentarische Initiative,50/2017,Mindestanteil an nur OKP-Versicherten in Listenspitälern
